country,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,43.8,44.1,43.4,41.6,41.6,41.7,42.3,42,41.7,41.5,41.5,40.7,40.7,40.5,40.2,39.5,39.4,39.2,39.5,39.2,39,39,37.9
Germany,,,,,,,,,,,,,,,,,,,,,,,,39.3,39,39,38.9,38.9,38.7,38.5,38.4,38.3,38,37.6,37.1,37.1,37.1,36.3,36.3,36.2,35.6,35.8,35.9,35.8,35.5,35.6,35.5,35.5,35.3,35.2,35.1,34.2
Denmark,,,,,,,,,,,,,,,,,,,,,,,,35.3,35,36.1,34.8,34.6,35.1,34.4,36.1,34.8,35.2,35.7,34.8,34.4,35.8,35.6,35.6,35.6,35.2,35.6,35.7,35.5,35.5,35.2,35.1,34.8,34.8,34.4,34.1,34.2
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,,,,,,,40.1,40.2,42.2,39.5,,41.2,40.8,40.6,40.9,41,41.3,40.1,40.1,39.8,39.5,38.8,33.8
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,43.7,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,43.9,43.4,,,,,41,41,40,39.5,39,37.5,37.2,37.4,36.6,34.5
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,46.3,46.4,45.1,45.2,45.4,,46.1,43.2,44.1,45.5,46.2,
Spain,,,,,,,,,41.6,41.1,40,39.7,39.1,39.1,38.4,37.6,38.2,,,,,,,38.8,39.5,39.1,38.5,38.2,38.5,38.7,39.8,38.7,38.6,38.7,37.9,38.6,39,38.9,38.8,38.6,38.1,38,37.8,37.5,37.5,37.4,37.3,37.3,37.1,37.4,37.1,36.6
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,42.2,41.9,41.1,40.7,40.8,40.2,40.4,40.2,40.3,40,39.5,38,38.9,39,38.7,38.7,38.3,38.1,38.6,38.7,38.1,38,37.2
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,,,,30,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,37.9,39.8,38.2,38,37.3,36.8,37.3,36.5,37,37.4,37.4,37.2,37.1,36.5,36.8,36.7,36.5,36.2,36,36.1,36.2,36.1,35.9,35.8,35.8
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,42.2,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,40.4,40.2,40.2,39.9,39.9,39.5,39.6,39.2,38.8,38.4,37.9,37,37,37,37.1,37.1,37.1,36.8,37.1,37.2,36.9,36.2,36.1,36.1,36.4,36.3,36.4,36.3,35.9
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,36.4,36.6,36.8,37.1,36.9,36.7,36.6,36.5,36.3,36.5,36.2,35.9,35.8,36.1,36.1,36.1,35.9,35.7,35.6,35.6,35.7,35.8,36,35.9,36,35.9,35.8,35.9,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,37.6,37.7,40.5
Ghana,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,38.6,,,,,,,41.1,,33,,39.8,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,49.8,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,43.7,44.3,43.2,42.9,42.4,42.4,42.5,42.9,42.6,42.7,42.5,42.6,42.5,42.3,41.9,41.6,41.6,41.3,41.3,41.3,41.1,41.2,40.9,40.9,41.2,41,40.9,40.7,40.3
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,29.4,40.8,43.3,42,43.3,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,48.9,48.9,46.5,47.5,46.3,45.6,46.2,44.5,45.8,45.8,45.1,46.1,45.2,45.2,46,46.6,46.5,46.9,46.6,47.1,46.9,46.3,46.6,45.6,45,46,,45,44,44,44,43,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,39.5,40.6,37.5,36.3,35.8,38.5,38.6,36.8,38,37.9,39.3,38,39.2,40.2,40.2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,40.9,40.7,40.1,40.2,40.5,40.2,39.9,39.7,39.5,39.4,39.2,39.3,38.4,38.5,38.9,38.6,38.5,38.2
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,42.2,41.8,42.2,41.2,41.5,41.5,40.9,41,40.5,40.4,40.1,40.1,39.8,39.8,39.4,38.8,38.8,38.5,38.5,39.1,38.8,38.2,38.4,38
Indonesia,,,,,,,,,,,,,,,,,,,,,,36.8,37.1,36.2,36.5,36.5,,,38.1,36.8,37.4,38.4,38.9,38.5,38.5,39.5,39.2,39.5,39.9,39.4,39.3,39.7,39.2,38.6,37.1,38.5,39.3,39.2,39.1,38.2,38.1,37.2
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,47.9,46.4
Ireland,,,,,,,,,,,,,,,,,,,,,,,,41.6,41,40.9,40.2,40.7,40,39.7,39.4,39.1,38.6,38.1,37.5,37.4,37.7,37.5,36.9,36.3,35.4,35.3,35.2,35.3,35.5,35.6,35.5,35.8,36.2,36.6,36.5,36.4
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,47.6,47.8,47.5,45.6,45.4,45.6,45.7,45.3,44.3,45.1,43.4,44.6,43.2,44.6,42.4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,43.3,43.2,42.8,43.5,44.4,43.8,43,42,42.2,42.3,42.5,42,41.6,39.6,39.5,40,39.8,39.8,39.8,40,40.1,39.8,39.5,39.5,37.9
Israel,,,,,,,,,,,,36.5,36.7,36.2,35.9,36,35.8,35.7,35.6,35.6,36.1,35.9,35.9,36.7,36.8,37.4,37.7,37.8,37.8,39.8,40,40.5,39.8,40,39.6,39.2,39.1,39.1,39.3,39.1,39,39,39,31.6,30.7,31.4,31.5,31.6,31.8,36,35.8,33.5
Italy,,,,,,,,,,,,,,,,,,,,,,,,39.4,39.5,39.3,39.5,38.9,39.4,39.4,39.3,39.2,39.4,35.9,39.1,38.6,38.2,38.1,38.1,37.8,37.4,37.5,37.2,36.5,36.4,36.3,36.4,36.6,36.7,36.9,36.8,35.8
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,
